Domain,Website,#articles,Country,Language,Type,Creation Date
addustuor[.]com,Addustour,0,Jordan,Arabic,Media,10/19/2016
al-jazirah[.]org,Al Jazeera,8,Qatar,English,Media,5/11/2017
al-shargh[.]com,Al Sharq,2,Qatar,Arabic,Media,2/5/2017
al-watan[.]co,Al Watan News,0,Qatar,Arabic,Media,10/4/2016
alarabyia[.]org,Al Arabyia,2,Saudi Arabia,Arabic,Media,5/21/2017
alettehad[.]net,Al Ittihad,1,Abu Dhabi Arabic daily,Arabic,Media,6/7/2017
aliraq-news[.]com,Al Iraq News,2,Iraq,Arabic,Media,10/26/2016
aljlazeera[.]com,Al Jazeera,2,Qatar,English,Media,4/29/2017
alryiadh[.]com,Al Riyadh,13,Saudi Arabia,Arabic,Media,10/4/2016
alwatannewspaper[.]net,Al Watan News,0,Qatar,Arabic,Media,30/09/2018
bbc-arabic[.]com,BBC Arabic,3,England,Arabic,Media,1/16/2017
belfercenter[.]net,Belfer Center,1,USA,English,Academic,11/12/2018
bloomberq[.]com,Bloomberg,2,USA,English,Media,2/12/2017
braekingisraelnews[.]com,Breaking Israel News,0,Israel,English,Media,25/06/2018
breakingisraelnews[.]net,Breaking Israel News,7,Israel,English,Media,11/15/2016
brusslestimes[.]com,Brussels Time,5,Belgium,English,Media,4/10/2017
budapestbaecon[.]com,Budapest Beacon,3,Hungary,English/Hungarian,Media,11/6/2016
bundesergierung[.]de,Bundesregierung,1,Germany,German,Government,10/1/2016
com-news-world[.]site,BBC,0,UK,English,Media,12/23/2016
com-users[.]info,KSA MOFA spoof Twitter account,5,Saudi Arabia,Arabic,Social Network,11/9/2016
dawalhaq[.]com,Dawaalhaq ( Islamic News Agency ),0,,Arabic,Radical Islamist,4/10/2017
daylisabah[.]com,Daily Sabah,5,Turkey,English/Arabic,Media,10/19/2016
democraticcoalition[.]net,,0,,,Unknown,5/15/2017
elwataannews[.]com,El Watan News,6,Egypt,Arabic,Media,10/19/2016
emaratallyoum[.]com,emaratalyoum,4,UAE,Arabic,Media,10/20/2016
emaratalyuom[.]com,emaratalyoum,1,UAE,Arabic,Media,23/06/2018
foreignpoilcy[.]com,Foreign Policy,0,USA,English,Media,22/07/2018
foriegnpolicy[.]net,Foreign Policy,4,USA,English,Media,05/21/2017
haaaretz[.]com,Haaretz,0,Israel,English,Media,4/26/2017
indepnedent[.]co,Independent,4,UK,English,Media,4/4/2017
israelhayom[.]net,http://www.israelhayom.com/,0,Israel,English,Media,5/21/2017
israellinarabic[.]com,Israel In Arabic,3,Israel,Arabic,Media,2/15/2017
israelnationalnews[.]co,israelnationalnews.com,0,Israel,English,Media,5/14/2017
israelnationalnews[.]net ,Israel National news,0,Israel,English/Hebrew,Media,06/08/2018
jerusaleimonline[.]com,Jerusalem Online,1,Israel,English,Media,5/21/2017
lesoir[.]info,Le Soir,2,Belgium,French,Media,2/14/2017
mesralarabiya[.]com,Masralabia,0,Egypt,Arabic,Media,11/2/2016
mintpressnevvs[.]com,Mint Press News,4,USA,English,Media,10/30/2016
nationalepost[.]com,National Post,0,Canada,English,Media,5/21/2017
policito[.]com,Politico,3,USA,english,Media,9/21/2016
sharjah24[.]co,Sharjah24.ae,3,UAE,Arabic,Media,5/14/2017
shoruknews[.]com,Al Shorouk,1,Egypt,Arabic,Media,4/29/2017
speigel[.]net,Spiegel,1,Germany,English,Media,5/4/2017
thaguardian[.]com,The Guardian,0,UK,English,Media,5/21/2017
theatlatnic[.]com,The Atlantic,7,USA,English,Media,5/23/2017
theglobeandmail[.]org,The Globe And Mail,0,Canada,English,Media,5/21/2017
theguaradian[.]com,The Guardian,4,UK,English,Media,5/9/2017
theheraldscotland[.]com,Herald Scotland,2,Scotland,English,Media,5/7/2017
thejerusalempost[.]org,The Jerusalem Post,2,Israel,English,Media,5/14/2017
timesoffisrael[.]com,Times of Israel,3,Israel,Arabic,Media,1/24/2017
timesofisraeil[.]com,Times of Israel,1,Israel,English/Hebrew,Media,6/27/2018
twitter.com-users[.]info,Twitter,0,,,Social Network,11/8/2016
waradena[.]com,Waradana,0,Iraq,Arabic,Media,10/22/2016
washnigtonexaminer[.]com,Washington Examiner,1,USA,English,Media,07/07/2018
xn--aljaeera-4t0d[.]net,Aljazeera ,1,Qatar,Arabic,Media,7/29/2017
xn--alnaaregypt-cm8e[.]com,Alnahar Egypt,2,Egypt,Arabic,Media,7/19/2017
xn--arab21-6va[.]com,Arabi21,0,,Arabic,Media,7/4/2017
xn--c-wpma[.]com,CNN,0,USA,English,Media,7/23/2017
xn--emaraalyoum-1b9e[.]com,emaratalyoum,2,UAE,Arabic,Media,7/12/2017
xn--etik-k54a[.]com,Detik,0,Indonesia,,Media,8/4/2017
xn--frace24-mkb[.]com,France 24,1,France,English/Spanish/French/Arabic,Media,7/31/2017
xn--haarez-m17b[.]com,Haaretz,2,Israel,English,Media,7/27/2017
xn--huffngtonpost-69b[.]com,Huffington Post ,0,USA,English,Media,8/8/2017
xn--israelinarabi-ugb[.]com,Israel In Arabic,1,Israel,Arabic,Media,6/18/2017
xn--nationmaser-5b9e[.]com,Nation Master,0,USA,English,Media,8/9/2017
xn--ndependent-77a[.]com,The Independent,0,UK,English,Media,7/11/2017
xn--plitico-d5b[.]com,Politico,0,US,English,Media,7/12/2017
xn--r-2rm[.]com,RT,1,Russia,Arabic,Media,7/11/2017
xn--sraelinarabic-29b[.]com,Israel In Arabic,1,Israel,Arabic,Media,7/2/2017
xn--telocal-xt3c[.]com,The Local,1,Switzerland,English,Media,7/13/2017
xn--theguardan-4ub[.]com,The guardian,1,UK,English,Media,8/12/2017
xn--theguardia-dq2e[.]com,The guardian,1,UK,English,Media,7/25/2017
xn--wa-exs[.]com,wam.ae,1,UAE,Arabic,Media,8/6/2017
